job_family,org,level,peer_cohort,source_cohort_values,n,small_cohort_note,min_score,p25_cutoff,p50_cutoff,p75_cutoff,max_score,Q1_range,Q2_range,Q3_range,Q4_range,Q1_count,Q2_count,Q3_count,Q4_count
Backend Product Software Engineering,Core Engineering,IC2,Backend Product Software Engineering | Core Engineering | IC2,Backend Product Software Engineering | Core Engineering | IC2,8,,12.02,37.7475,57.49,77.02,116.67,<= 37.7475,> 37.7475 and <= 57.49,> 57.49 and <= 77.02,> 77.02,2,2,2,2
Backend Product Software Engineering,Core Engineering,IC3,Backend Product Software Engineering | Core Engineering | IC3,Backend Product Software Engineering | Core Engineering | IC3,27,,8.02,50.13,89.1,116.23,495.93,<= 50.13,> 50.13 and <= 89.1,> 89.1 and <= 116.23,> 116.23,7,7,6,7
Backend Product Software Engineering,Core Engineering,IC4,Backend Product Software Engineering | Core Engineering | IC4,Backend Product Software Engineering | Core Engineering | IC4,15,,26.31,75.69,124.22,152.12,350.55,<= 75.69,> 75.69 and <= 124.22,> 124.22 and <= 152.12,> 152.12,4,4,3,4
Backend Product Software Engineering,Core Engineering,IC5,Backend Product Software Engineering | Core Engineering | IC5,Backend Product Software Engineering | Core Engineering | IC5,6,Small cohort (<8),13.2,31.995,99.35,162.6175,307.77,<= 31.995,> 31.995 and <= 99.35,> 99.35 and <= 162.6175,> 162.6175,2,1,1,2
Fullstack Product Software Engineering,Core Engineering,IC1,Fullstack Product Software Engineering | Core Engineering | IC1,Fullstack Product Software Engineering | Core Engineering | IC1,5,Small cohort (<8),10.37,15.44,68.78,190.58,201.76,<= 15.44,> 15.44 and <= 68.78,> 68.78 and <= 190.58,> 190.58,2,1,1,1
Fullstack Product Software Engineering,Core Engineering,IC2,Fullstack Product Software Engineering | Core Engineering | IC2,Fullstack Product Software Engineering | Core Engineering | IC2,54,,28.6,68.985,84.2,115.51,323.25,<= 68.985,> 68.985 and <= 84.2,> 84.2 and <= 115.51,> 115.51,14,13,13,14
Fullstack Product Software Engineering,Core Engineering,IC3,Fullstack Product Software Engineering | Core Engineering | IC3,Fullstack Product Software Engineering | Core Engineering | IC3,89,,12.27,64.65,115.66,165.32,301.05,<= 64.65,> 64.65 and <= 115.66,> 115.66 and <= 165.32,> 165.32,23,22,22,22
Fullstack Product Software Engineering,Core Engineering,IC4,Fullstack Product Software Engineering | Core Engineering | IC4,Fullstack Product Software Engineering | Core Engineering | IC4,56,,0,78.5975,133.27,177.615,401.59,<= 78.5975,> 78.5975 and <= 133.27,> 133.27 and <= 177.615,> 177.615,14,14,14,14
Fullstack Product Software Engineering,Core Engineering,IC5,Fullstack Product Software Engineering | Core Engineering | IC5,Fullstack Product Software Engineering | Core Engineering | IC5,6,Small cohort (<8),18.33,82.4325,224.265,273.6,299.52,<= 82.4325,> 82.4325 and <= 224.265,> 224.265 and <= 273.6,> 273.6,2,1,1,2
Fullstack Product Software Engineering,Core Engineering,IC6,Fullstack Product Software Engineering | Core Engineering | IC6,Fullstack Product Software Engineering | Core Engineering | IC6,2,Small cohort (<8),25.08,50.5825,76.085,101.5875,127.09,<= 50.5825,> 50.5825 and <= 76.085,> 76.085 and <= 101.5875,> 101.5875,1,0,0,1
Fullstack Product Software Engineering,Core Engineering,IC7,Fullstack Product Software Engineering | Core Engineering | IC7,Fullstack Product Software Engineering | Core Engineering | IC7,1,Small cohort (<8),367.47,367.47,367.47,367.47,367.47,<= 367.47,> 367.47 and <= 367.47,> 367.47 and <= 367.47,> 367.47,1,0,0,0
Infrastructure Software Engineering,Core Engineering,IC2,Infrastructure Software Engineering | Core Engineering | IC2,Infrastructure Software Engineering | Core Engineering | IC2,1,Small cohort (<8),53.33,53.33,53.33,53.33,53.33,<= 53.33,> 53.33 and <= 53.33,> 53.33 and <= 53.33,> 53.33,1,0,0,0
